Name,kW,pf,kVA,Load class,Load sub class
bag_1037,90,0.9,100,res_com,general
bag_1039,180,0.9,200,res_com,general
bag_1045,90,0.9,100,res_com,general
bag_1055,180,0.9,200,com_res,general
bag_1066,90,0.9,100,res_com,general
bag_1076,180,0.9,200,com_res,general
bag_1078,180,0.9,200,res_com,general
bag_1085,90,0.9,100,res_com,general
bag_1093,180,0.9,200,res_com,general
bag_1095,270,0.9,300,com_res,general
bag_1102,90,0.9,100,res_com,general
bag_1113,270,0.9,300,com_res,general
bag_1115,180,0.9,200,res_com,general
bag_1117,90,0.9,100,res_com,general
bag_1127,90,0.9,100,res_com,general
bag_1130,90,0.9,100,res_com,general
bag_1139,90,0.9,100,res_com,general
bag_1146,90,0.9,100,res_com,general
bag_1148,270,0.9,300,res_com,general
bag_1156,90,0.9,100,res_com,general
bag_1178,90,0.9,100,res_com,general
bag_1185,180,0.9,200,res_com,general
bag_1191,90,0.9,100,res_com,general
bag_1209,180,0.9,200,res_com,general
bag_1211,90,0.9,100,res_com,general
bag_1214,90,0.9,100,res_com,general
bag_1215,180,0.9,200,res_com,general
bag_1216,90,0.9,100,res_com,general
ban_2037,180,0.9,200,res_com,general
ban_2048,90,0.9,100,commercial,water_supply
ban_2051,180,0.9,200,com_res,general
ban_2056,180,0.9,200,res_com,general
ban_2059,180,0.9,200,res_com,general
ban_2064,180,0.9,200,com_res,general
ban_2070,180,0.9,200,com_res,general
ban_2081,180,0.9,200,res_com,general
ban_2087,90,0.9,100,res_com,general
ban_2098,225,0.9,250,res_com,general
ban_2111,180,0.9,200,com_res,general
ban_2121,180,0.9,200,res_com,general
ban_2140,90,0.9,100,res_com,general
ban_2146,180,0.9,200,res_com,general
ban_2147,90,0.9,100,res_com,general
ban_2152,180,0.9,200,res_com,general
ban_2155,90,0.9,100,res_com,general
ban_2162,180,0.9,200,com_res,general
ban_2165,270,0.9,300,com_res,general
ban_2166,90,0.9,100,com_res,general
ban_2175,180,0.9,200,com_res,general
ban_2177,90,0.9,100,res_com,general
ban_2184,90,0.9,100,res_com,general
ban_2185,90,0.9,100,res_com,general
dho_3001,180,0.9,200,com_res,general
dho_3026,180,0.9,200,com_res,general
dho_3039,180,0.9,200,res_com,general
dho_3045,180,0.9,200,com_res,general
dho_3051,180,0.9,200,com_res,general
dho_3069,90,0.9,100,res_com,general
dho_3095,180,0.9,200,com_res,general
dho_3097,180,0.9,200,res_com,general
dho_3101,90,0.9,100,res_com,general
dho_3107,90,0.9,100,res_com,general
dho_3118,180,0.9,200,com_res,general
dho_3119,180,0.9,200,res_com,general
dho_3122,180,0.9,200,com_res,general
dho_3133,90,0.9,100,res_com,general
dho_3137,90,0.9,100,res_com,general
dho_3151,90,0.9,100,res_com,general
dho_3163,90,0.9,100,res_com,general
dho_3173,180,0.9,200,com_res,general
dho_3177,180,0.9,200,res_com,general
dho_3182,180,0.9,200,com_res,general
dho_3189,90,0.9,100,res_com,general
dho_3191,180,0.9,200,com_res,general
dho_3199,90,0.9,100,res_com,general
got_4045,90,0.9,100,industrial,pharmaceutical
got_4052,180,0.9,200,com_res,general
got_4056,180,0.9,200,com_res,general
got_4058,135,0.9,150,com_res,general
got_4061,180,0.9,200,res_com,general
got_4065,90,0.9,100,res_com,general
got_4069,270,0.9,300,com_res,general
got_4072,90,0.9,100,res_com,general
got_4081,180,0.9,200,com_res,general
got_4085,180,0.9,200,com_res,general
got_4092,180,0.9,200,com_res,general
got_4101,180,0.9,200,com_res,general
got_4106,180,0.9,200,res_com,general
got_4109,180,0.9,200,com_res,general
