Name,kW,pf,kVA
bag_1037,90.0,0.9,100.0
bag_1039,180.0,0.9,200.0
bag_1045,90.0,0.9,100.0
bag_1055,180.0,0.9,200.0
bag_1066,90.0,0.9,100.0
bag_1076,180.0,0.9,200.0
bag_1078,180.0,0.9,200.0
bag_1085,90.0,0.9,100.0
bag_1093,180.0,0.9,200.0
bag_1095,270.0,0.9,300.0
bag_1102,90.0,0.9,100.0
bag_1113,270.0,0.9,300.0
bag_1115,180.0,0.9,200.0
bag_1117,90.0,0.9,100.0
bag_1127,90.0,0.9,100.0
bag_1130,90.0,0.9,100.0
bag_1139,90.0,0.9,100.0
bag_1146,90.0,0.9,100.0
bag_1148,270.0,0.9,300.0
bag_1156,90.0,0.9,100.0
bag_1178,90.0,0.9,100.0
bag_1185,180.0,0.9,200.0
bag_1191,90.0,0.9,100.0
bag_1209,180.0,0.9,200.0
bag_1211,90.0,0.9,100.0
bag_1214,90.0,0.9,100.0
bag_1215,180.0,0.9,200.0
bag_1216,90.0,0.9,100.0
ban_2037,180.0,0.9,200.0
ban_2048,90.0,0.9,100.0
ban_2051,180.0,0.9,200.0
ban_2056,180.0,0.9,200.0
ban_2059,180.0,0.9,200.0
ban_2064,180.0,0.9,200.0
ban_2070,180.0,0.9,200.0
ban_2081,180.0,0.9,200.0
ban_2087,90.0,0.9,100.0
ban_2098,225.0,0.9,250.0
ban_2111,180.0,0.9,200.0
ban_2121,180.0,0.9,200.0
ban_2140,90.0,0.9,100.0
ban_2146,180.0,0.9,200.0
ban_2147,90.0,0.9,100.0
ban_2152,180.0,0.9,200.0
ban_2155,90.0,0.9,100.0
ban_2162,180.0,0.9,200.0
ban_2165,270.0,0.9,300.0
ban_2166,90.0,0.9,100.0
ban_2175,180.0,0.9,200.0
ban_2177,90.0,0.9,100.0
ban_2184,90.0,0.9,100.0
ban_2185,90.0,0.9,100.0
dho_3001,180.0,0.9,200.0
dho_3026,180.0,0.9,200.0
dho_3039,180.0,0.9,200.0
dho_3045,180.0,0.9,200.0
dho_3051,180.0,0.9,200.0
dho_3069,90.0,0.9,100.0
dho_3095,180.0,0.9,200.0
dho_3097,180.0,0.9,200.0
dho_3101,90.0,0.9,100.0
dho_3107,90.0,0.9,100.0
dho_3118,180.0,0.9,200.0
dho_3119,180.0,0.9,200.0
dho_3122,180.0,0.9,200.0
dho_3133,90.0,0.9,100.0
dho_3137,90.0,0.9,100.0
dho_3151,90.0,0.9,100.0
dho_3163,90.0,0.9,100.0
dho_3173,180.0,0.9,200.0
dho_3177,180.0,0.9,200.0
dho_3182,180.0,0.9,200.0
dho_3189,90.0,0.9,100.0
dho_3191,180.0,0.9,200.0
dho_3199,90.0,0.9,100.0
got_4045,90.0,0.9,100.0
got_4052,180.0,0.9,200.0
got_4056,180.0,0.9,200.0
got_4058,135.0,0.9,150.0
got_4061,180.0,0.9,200.0
got_4065,90.0,0.9,100.0
got_4069,270.0,0.9,300.0
got_4072,90.0,0.9,100.0
got_4081,180.0,0.9,200.0
got_4085,180.0,0.9,200.0
got_4092,180.0,0.9,200.0
got_4101,180.0,0.9,200.0
got_4106,180.0,0.9,200.0
got_4109,180.0,0.9,200.0
got_4115,90.0,0.9,100.0
got_4140,90.0,0.9,100.0
got_4143,270.0,0.9,300.0
got_4144,90.0,0.9,100.0
got_4147,180.0,0.9,200.0
ich_5028,1800.0,0.9,2000.0
ich_5032,1134.0,0.9,1260.0
im1_6001,90.0,0.9,100.0
im1_6003,90.0,0.9,100.0
im1_6005,90.0,0.9,100.0
im1_6007,90.0,0.9,100.0
im1_6008,90.0,0.9,100.0
im1_6011,180.0,0.9,200.0
im1_6018,180.0,0.9,200.0
im1_6035,90.0,0.9,100.0
im1_6038,180.0,0.9,200.0
im1_6045,90.0,0.9,100.0
im1_6051,90.0,0.9,100.0
im1_6073,90.0,0.9,100.0
im1_6076,90.0,0.9,100.0
im1_6079,90.0,0.9,100.0
im1_6082,180.0,0.9,200.0
im1_6083,90.0,0.9,100.0
im1_6092,90.0,0.9,100.0
im1_6099,90.0,0.9,100.0
im1_6104,90.0,0.9,100.0
im1_6109,45.0,0.9,50.0
im1_6112,180.0,0.9,200.0
im1_6117,90.0,0.9,100.0
im1_6120,90.0,0.9,100.0
im1_6123,225.0,0.9,250.0
im1_6125,90.0,0.9,100.0
im1_6127,90.0,0.9,100.0
im1_6129,90.0,0.9,100.0
im2_7062,360.0,0.9,400.0
kot_8009,180.0,0.9,200.0
kot_8034,180.0,0.9,200.0
kot_8038,90.0,0.9,100.0
kot_8080,180.0,0.9,200.0
kot_8087,180.0,0.9,200.0
kot_8089,180.0,0.9,200.0
kot_8097,180.0,0.9,200.0
kot_8103,180.0,0.9,200.0
kot_8106,180.0,0.9,200.0
kot_8113,90.0,0.9,100.0
kot_8116,180.0,0.9,200.0
kot_8123,180.0,0.9,200.0
kot_8136,90.0,0.9,100.0
kot_8149,180.0,0.9,200.0
kot_8152,90.0,0.9,100.0
kot_8160,180.0,0.9,200.0
kot_8162,90.0,0.9,100.0
kot_8164,180.0,0.9,200.0
kot_8182,180.0,0.9,200.0
kot_8193,180.0,0.9,200.0
kot_8201,180.0,0.9,200.0
kot_8209,90.0,0.9,100.0
kot_8223,180.0,0.9,200.0
kot_8225,180.0,0.9,200.0
kot_8261,180.0,0.9,200.0
kot_8273,270.0,0.9,300.0
kot_8274,180.0,0.9,200.0
kot_8293,270.0,0.9,300.0
kot_8295,180.0,0.9,200.0
kot_8296,180.0,0.9,200.0
kot_8306,90.0,0.9,100.0
kot_8310,90.0,0.9,100.0
kot_8333,90.0,0.9,100.0
kot_8335,180.0,0.9,200.0
kot_8344,90.0,0.9,100.0
kot_8355,90.0,0.9,100.0
kot_8356,135.0,0.9,150.0
kot_8358,180.0,0.9,200.0
kot_8359,180.0,0.9,200.0
lub_9002,225.0,0.9,250.0
lub_9003,180.0,0.9,200.0
lub_9004,180.0,0.9,200.0
lub_9005,90.0,0.9,100.0
lub_9007,90.0,0.9,100.0
lub_9008,90.0,0.9,100.0
lub_9009,13.5,0.9,15.0
lub_9011,90.0,0.9,100.0
lub_9013,45.0,0.9,50.0
lub_9015,90.0,0.9,100.0
lub_9016,45.0,0.9,50.0
lub_9017,360.0,0.9,400.0
lub_9018,67.5,0.9,75.0
lub_9019,360.0,0.9,400.0
lub_9021,45.0,0.9,50.0
lub_9022,45.0,0.9,50.0
lub_9024,45.0,0.9,50.0
lub_9080,270.0,0.9,300.0
lub_9109,180.0,0.9,200.0
lub_9137,180.0,0.9,200.0
lub_9150,90.0,0.9,100.0
lub_9158,90.0,0.9,100.0
lub_9173,180.0,0.9,200.0
lub_9179,45.0,0.9,50.0
lub_9186,22.5,0.9,25.0
lub_9190,22.5,0.9,25.0
lub_9214,22.5,0.9,25.0
lub_9232,22.5,0.9,25.0
lub_9238,180.0,0.9,200.0
