Failed Element,Time of Fault,Failure Detected by CM,Time of Repair,Breaker selected,Breaker Status,Would not have failed
Line.line_dho_3128_3127,0,0,10,Line.line_dho_ss_ckt_bkr,1,0
Line.line_got_4179_4178,0,0,4,Line.line_got_ss_ckt_bkr,1,0
Line.line_ich_5004_5043,0,0,5,Line.line_ich_ss_ckt_bkr,1,0
Line.line_ich_5029_5077,0,0,10,Line.line_ich_ss_ckt_bkr,1,0
Line.line_ich_5082_5083,0,0,12,Line.line_ich_ss_ckt_bkr,1,0
Line.line_new_10169_10170,0,0,10,Line.line_new_ss_ckt_bkr,1,0
Line.line_san_11132_11187,0,0,8,Line.line_san_ss_ckt_bkr,1,0
Line.line_lub_9510_9435,1,0,9,Line.line_lub_9130_9131,1,0
Line.line_ban_2211_2005,2,0,10,Line.line_ban_ss_ckt_bkr,1,0
Line.line_ban_2233_2234,2,0,10,Line.line_ban_ss_ckt_bkr,1,0
Line.line_ban_2235_2018,2,0,9,Line.line_ban_ss_ckt_bkr,1,0
Line.line_lub_9534_9533,2,0,11,Line.line_lub_ss_ckt_bkr,1,0
Line.line_lub_9547_9548,2,0,13,Line.line_lub_ss_ckt_bkr,1,0
Line.line_bag_1019_1271,4,0,11,Line.line_bag_ss_ckt_bkr,1,0
Line.line_kot_8236_8237,6,0,11,Line.line_kot_ss_ckt_bkr,1,0
Line.line_im2_7065_7060,8,0,11,Line.line_im2_ss_ckt_bkr,1,0
Line.line_lub_9154_9155,8,0,14,Line.line_lub_9233_9138,1,0
Line.line_san_11160_11183,10,0,16,Line.line_san_ss_ckt_bkr,1,0
Line.line_new_10224_10225,12,0,16,Line.line_new_ss_ckt_bkr,1,0
Line.line_dho_3221_3222,13,0,21,Line.line_dho_ss_ckt_bkr,1,0
Line.line_dho_3223_3224,13,0,22,Line.line_dho_ss_ckt_bkr,1,0
Line.line_bag_1009_1255,14,0,16,Line.line_bag_ss_ckt_bkr,1,0
Line.line_bag_1084_1085,14,0,14,Line.line_bag_ss_ckt_bkr,1,0
Line.line_im2_7082_7035,14,0,14,Line.line_im2_ss_ckt_bkr,1,0
Line.line_got_4179_4178,15,0,27,Line.line_got_ss_ckt_bkr,1,0
Line.line_ich_5071_5017,15,0,20,Line.line_ich_ss_ckt_bkr,1,0
Line.line_im1_6033_6034,15,0,21,Line.line_im1_ss_ckt_bkr,1,0
Line.line_lub_9495_9505,15,0,21,Line.line_lub_ss_ckt_bkr,1,0
Line.line_lub_9507_9307,15,0,26,Line.line_lub_ss_ckt_bkr,1,0
Line.line_im2_7061_7063,17,0,19,Line.line_im2_ss_ckt_bkr,1,0
Line.line_ban_2018_2236,19,0,60,Line.line_ban_ss_ckt_bkr,1,0
Line.line_ban_2219_2008,19,0,58,Line.line_ban_ss_ckt_bkr,1,0
Line.line_kot_8375_8059,19,0,55,Line.line_kot_ss_ckt_bkr,1,0
Line.line_bag_1272_1019,20,0,56,Line.line_bag_ss_ckt_bkr,1,0
Line.line_new_10004_10270,22,0,58,Line.line_new_ss_ckt_bkr,1,0
Line.line_ich_5075_5076,23,0,55,Line.line_ich_ss_ckt_bkr,1,0
Line.line_im2_7061_7063,24,0,61,Line.line_im2_ss_ckt_bkr,1,0
Line.line_san_11132_11187,25,0,63,Line.line_san_ss_ckt_bkr,1,0
Line.line_dho_3204_3205,28,0,60,Line.line_dho_ss_ckt_bkr,1,0
Line.line_lub_9307_9308,29,0,56,Line.line_lub_ss_ckt_bkr,1,0
Line.line_lub_9012_9500,32,0,64,Line.line_lub_9233_9138,1,0
Line.line_im1_6034_6035,35,0,62,Line.line_im1_ss_ckt_bkr,1,0
Line.line_got_4150_4151,36,0,61,Line.line_got_ss_ckt_bkr,1,0
Line.line_kot_8377_8378,57,0,69,Line.line_kot_ss_ckt_bkr,1,0
Line.line_bag_1002_1224,58,0,65,Line.line_bag_ss_ckt_bkr,1,0
Line.line_ich_5036_5002,59,0,62,Line.line_ich_ss_ckt_bkr,1,0
Line.line_lub_9075_9517,60,0,63,Line.line_lub_ss_ckt_bkr,1,0
Line.line_lub_9407_9546,60,0,66,Line.line_lub_ss_ckt_bkr,1,0
Line.line_lub_9506_9495,60,0,64,Line.line_lub_ss_ckt_bkr,1,0
Line.line_new_10288_10057,60,0,60,Line.line_new_ss_ckt_bkr,1,0
Line.line_ban_2234_2235,62,0,65,Line.line_ban_ss_ckt_bkr,1,0
Line.line_dho_3206_3207,62,0,65,Line.line_dho_ss_ckt_bkr,1,0
Line.line_lub_9291_9292,63,0,66,Line.line_lub_9130_9131,1,0
Line.line_got_4185_4008,64,0,72,Line.line_got_ss_ckt_bkr,1,0
Line.line_ich_5074_5073,64,0,71,Line.line_ich_ss_ckt_bkr,1,0
Line.line_ich_5076_5029,64,0,71,Line.line_ich_ss_ckt_bkr,1,0
Line.line_san_11160_11183,65,0,68,Line.line_san_ss_ckt_bkr,1,0
Line.line_bag_1007_1229,67,0,79,Line.line_bag_ss_ckt_bkr,1,0
Line.line_im2_7065_7060,68,0,84,Line.line_im2_ss_ckt_bkr,1,0
Line.line_lub_9533_9532,68,0,82,Line.line_lub_ss_ckt_bkr,1,0
Line.line_ban_2233_2234,69,0,77,Line.line_ban_ss_ckt_bkr,1,0
Line.line_new_10073_10301,70,0,82,Line.line_new_ss_ckt_bkr,1,0
Line.line_san_11039_11040,70,0,79,Line.line_san_ss_ckt_bkr,1,0
Line.line_dho_3221_3222,71,0,76,Line.line_dho_ss_ckt_bkr,1,0
Line.line_kot_8068_8088,71,0,83,Line.line_kot_ss_ckt_bkr,1,0
Line.line_ich_5029_5077,75,0,82,Line.line_ich_ss_ckt_bkr,1,0
Line.line_im1_6070_6071,75,0,80,Line.line_im1_ss_ckt_bkr,1,0
Line.line_lub_9434_9509,75,0,83,Line.line_lub_9130_9131,1,0
Line.line_dho_3213_3214,78,0,81,Line.line_dho_ss_ckt_bkr,1,0
Line.line_got_4179_4178,79,0,85,Line.line_got_ss_ckt_bkr,1,0
Line.line_dho_3195_3196,83,0,92,Line.line_dho_ss_ckt_bkr,1,0
Line.line_lub_9495_9505,84,0,87,Line.line_lub_ss_ckt_bkr,1,0
