Component,cm_hour_rate
Line,168
Transformer,720
Load,0
Vsource,0
Isource,0
Transformer.sub,1440
Line.line_bag_ss_ckt_bkr,168
Line.line_ban_ss_ckt_bkr,168
Line.line_dho_ss_ckt_bkr,168
Line.line_got_ss_ckt_bkr,168
Line.line_ich_ss_ckt_bkr,168
Line.line_im1_ss_ckt_bkr,168
Line.line_im2_ss_ckt_bkr,168
Line.line_kot_ss_ckt_bkr,168
Line.line_lub_ss_ckt_bkr,168
Line.line_new_ss_ckt_bkr,168
Line.line_san_ss_ckt_bkr,168
Transformer.bag_1037,720
Transformer.bag_1039,720
Transformer.bag_1045,720
Transformer.bag_1055,720
Transformer.bag_1066,720
Transformer.bag_1076,720
Transformer.bag_1078,720
Transformer.bag_1085,720
Transformer.bag_1093,720
Transformer.bag_1095,720
Transformer.bag_1102,720
Transformer.bag_1113,720
Transformer.bag_1115,720
Transformer.bag_1117,720
Transformer.bag_1127,720
Transformer.bag_1130,720
Transformer.bag_1139,720
Transformer.bag_1146,720
Transformer.bag_1148,720
Transformer.bag_1156,720
Transformer.bag_1178,720
Transformer.bag_1185,720
Transformer.bag_1191,720
Transformer.bag_1209,720
Transformer.bag_1211,720
Transformer.bag_1214,720
Transformer.bag_1215,720
Transformer.bag_1216,720
Transformer.ban_2037,720
Transformer.ban_2048,720
Transformer.ban_2051,720
Transformer.ban_2056,720
Transformer.ban_2059,720
Transformer.ban_2064,720
Transformer.ban_2070,720
Transformer.ban_2081,720
Transformer.ban_2087,720
Transformer.ban_2098,720
Transformer.ban_2111,720
Transformer.ban_2121,720
Transformer.ban_2140,720
Transformer.ban_2146,720
Transformer.ban_2147,720
Transformer.ban_2152,720
Transformer.ban_2155,720
Transformer.ban_2162,720
Transformer.ban_2165,720
Transformer.ban_2166,720
Transformer.ban_2175,720
Transformer.ban_2177,720
Transformer.ban_2184,720
Transformer.ban_2185,720
Transformer.dho_3001,720
Transformer.dho_3026,720
Transformer.dho_3039,720
Transformer.dho_3045,720
Transformer.dho_3051,720
Transformer.dho_3069,720
Transformer.dho_3095,720
Transformer.dho_3097,720
Transformer.dho_3101,720
Transformer.dho_3107,720
Transformer.dho_3118,720
Transformer.dho_3119,720
Transformer.dho_3122,720
Transformer.dho_3133,720
Transformer.dho_3137,720
Transformer.dho_3151,720
Transformer.dho_3163,720
Transformer.dho_3173,720
Transformer.dho_3177,720
Transformer.dho_3182,720
Transformer.dho_3189,720
Transformer.dho_3191,720
Transformer.dho_3199,720
Transformer.got_4045,720
Transformer.got_4052,720
Transformer.got_4056,720
Transformer.got_4058,720
Transformer.got_4061,720
Transformer.got_4065,720
Transformer.got_4069,720
Transformer.got_4072,720
Transformer.got_4081,720
Transformer.got_4085,720
Transformer.got_4092,720
Transformer.got_4101,720
Transformer.got_4106,720
Transformer.got_4109,720
Transformer.got_4115,720
Transformer.got_4140,720
Transformer.got_4143,720
Transformer.got_4144,720
Transformer.got_4147,720
Transformer.ich_5028,720
Transformer.ich_5032,720
Transformer.im1_6001,720
Transformer.im1_6003,720
Transformer.im1_6005,720
Transformer.im1_6007,720
Transformer.im1_6008,720
Transformer.im1_6011,720
Transformer.im1_6018,720
Transformer.im1_6035,720
Transformer.im1_6038,720
Transformer.im1_6045,720
Transformer.im1_6051,720
Transformer.im1_6073,720
Transformer.im1_6076,720
Transformer.im1_6079,720
Transformer.im1_6082,720
Transformer.im1_6083,720
Transformer.im1_6092,720
Transformer.im1_6099,720
Transformer.im1_6104,720
Transformer.im1_6109,720
