Component,cm_hour_sd
Line,48
Transformer,24
Load,0
Vsource,0
Isource,0
Line.line_bag_ss_ckt_bkr,48
Line.line_ban_ss_ckt_bkr,48
Line.line_dho_ss_ckt_bkr,48
Line.line_got_ss_ckt_bkr,48
Line.line_ich_ss_ckt_bkr,48
Line.line_im1_ss_ckt_bkr,48
Line.line_im2_ss_ckt_bkr,48
Line.line_kot_ss_ckt_bkr,48
Line.line_lub_ss_ckt_bkr,48
Line.line_new_ss_ckt_bkr,48
Line.line_san_ss_ckt_bkr,48
Transformer.sub,24
Transformer.bag_1037,24
Transformer.bag_1039,24
Transformer.bag_1045,24
Transformer.bag_1055,24
Transformer.bag_1066,24
Transformer.bag_1076,24
Transformer.bag_1078,24
Transformer.bag_1085,24
Transformer.bag_1093,24
Transformer.bag_1095,24
Transformer.bag_1102,24
Transformer.bag_1113,24
Transformer.bag_1115,24
Transformer.bag_1117,24
Transformer.bag_1127,24
Transformer.bag_1130,24
Transformer.bag_1139,24
Transformer.bag_1146,24
Transformer.bag_1148,24
Transformer.bag_1156,24
Transformer.bag_1178,24
Transformer.bag_1185,24
Transformer.bag_1191,24
Transformer.bag_1209,24
Transformer.bag_1211,24
Transformer.bag_1214,24
Transformer.bag_1215,24
Transformer.bag_1216,24
Transformer.ban_2037,24
Transformer.ban_2048,24
Transformer.ban_2051,24
Transformer.ban_2056,24
Transformer.ban_2059,24
Transformer.ban_2064,24
Transformer.ban_2070,24
Transformer.ban_2081,24
Transformer.ban_2087,24
Transformer.ban_2098,24
Transformer.ban_2111,24
Transformer.ban_2121,24
Transformer.ban_2140,24
Transformer.ban_2146,24
Transformer.ban_2147,24
Transformer.ban_2152,24
Transformer.ban_2155,24
Transformer.ban_2162,24
Transformer.ban_2165,24
Transformer.ban_2166,24
Transformer.ban_2175,24
Transformer.ban_2177,24
Transformer.ban_2184,24
Transformer.ban_2185,24
Transformer.dho_3001,24
Transformer.dho_3026,24
Transformer.dho_3039,24
Transformer.dho_3045,24
Transformer.dho_3051,24
Transformer.dho_3069,24
Transformer.dho_3095,24
Transformer.dho_3097,24
Transformer.dho_3101,24
Transformer.dho_3107,24
Transformer.dho_3118,24
Transformer.dho_3119,24
Transformer.dho_3122,24
Transformer.dho_3133,24
Transformer.dho_3137,24
Transformer.dho_3151,24
Transformer.dho_3163,24
Transformer.dho_3173,24
Transformer.dho_3177,24
Transformer.dho_3182,24
Transformer.dho_3189,24
Transformer.dho_3191,24
Transformer.dho_3199,24
Transformer.got_4045,24
Transformer.got_4052,24
Transformer.got_4056,24
Transformer.got_4058,24
Transformer.got_4061,24
Transformer.got_4065,24
Transformer.got_4069,24
Transformer.got_4072,24
Transformer.got_4081,24
Transformer.got_4085,24
Transformer.got_4092,24
Transformer.got_4101,24
Transformer.got_4106,24
Transformer.got_4109,24
Transformer.got_4115,24
Transformer.got_4140,24
Transformer.got_4143,24
Transformer.got_4144,24
Transformer.got_4147,24
Transformer.ich_5028,24
Transformer.ich_5032,24
Transformer.im1_6001,24
Transformer.im1_6003,24
Transformer.im1_6005,24
Transformer.im1_6007,24
Transformer.im1_6008,24
Transformer.im1_6011,24
Transformer.im1_6018,24
Transformer.im1_6035,24
Transformer.im1_6038,24
