Component,failure_rate_lambda
Line,0.03548
Transformer,0.00597
Load,0.003
Vsource,1e-10
Isource,1e-10
Transformer.sub,0.002
Line.line_bag_ss_ckt_bkr,0.004
Line.line_ban_ss_ckt_bkr,0.004
Line.line_new_ss_ckt_bkr,0.004
Line.line_ich_ss_ckt_bkr,0.004
Line.line_san_ss_ckt_bkr,0.004
Line.line_dho_ss_ckt_bkr,0.004
Line.line_got_ss_ckt_bkr,0.004
Line.line_im1_ss_ckt_bkr,0.004
Line.line_im2_ss_ckt_bkr,0.004
Line.line_kot_ss_ckt_bkr,0.004
Line.line_lub_ss_ckt_bkr,0.004
Line.line_lub_9130_9131,0.00479
Line.line_lub_9180_9181,0.00479
Line.line_lub_9233_9234,0.00479
Line.line_lub_9233_9138,0.00479
