Component,failure_rate_lambda
Line.line_bag_ss_ckt_bkr,0.002
Line.line_ban_ss_ckt_bkr,0.002
Line.line_dho_ss_ckt_bkr,0.002
Line.line_got_ss_ckt_bkr,0.002
Line.line_ich_ss_ckt_bkr,0.002
Line.line_im1_ss_ckt_bkr,0.002
Line.line_im2_ss_ckt_bkr,0.002
Line.line_kot_ss_ckt_bkr,0.002
Line.line_lub_ss_ckt_bkr,0.002
Line.line_lub_9130_9131,0.01774
Line.line_lub_9180_9181,0.01774
Line.line_lub_9233_9234,0.01774
Line.line_lub_9233_9138,0.01774
Line.line_new_ss_ckt_bkr,0.002
Line.line_san_ss_ckt_bkr,0.002
Transformer.sub,0.001
Transformer.bag_1037,0.002985
Transformer.bag_1039,0.002985
Transformer.bag_1045,0.002985
Transformer.bag_1055,0.002985
Transformer.bag_1066,0.002985
Transformer.bag_1076,0.002985
Transformer.bag_1078,0.002985
Transformer.bag_1085,0.002985
Transformer.bag_1093,0.002985
Transformer.bag_1095,0.002985
Transformer.bag_1102,0.002985
Transformer.bag_1113,0.002985
Transformer.bag_1115,0.002985
Transformer.bag_1117,0.002985
Transformer.bag_1127,0.002985
Transformer.bag_1130,0.002985
Transformer.bag_1139,0.002985
Transformer.bag_1146,0.002985
Transformer.bag_1148,0.002985
Transformer.bag_1156,0.002985
Transformer.bag_1178,0.002985
Transformer.bag_1185,0.002985
Transformer.bag_1191,0.002985
Transformer.bag_1209,0.002985
Transformer.bag_1211,0.002985
Transformer.bag_1214,0.002985
Transformer.bag_1215,0.002985
Transformer.bag_1216,0.002985
Transformer.ban_2037,0.002985
Transformer.ban_2048,0.002985
Transformer.ban_2051,0.002985
Transformer.ban_2056,0.002985
Transformer.ban_2059,0.002985
Transformer.ban_2064,0.002985
Transformer.ban_2070,0.002985
Transformer.ban_2081,0.002985
Transformer.ban_2087,0.002985
Transformer.ban_2098,0.002985
Transformer.ban_2111,0.002985
Transformer.ban_2121,0.002985
Transformer.ban_2140,0.002985
Transformer.ban_2146,0.002985
Transformer.ban_2147,0.002985
Transformer.ban_2152,0.002985
Transformer.ban_2155,0.002985
Transformer.ban_2162,0.002985
Transformer.ban_2165,0.002985
Transformer.ban_2166,0.002985
Transformer.ban_2175,0.002985
Transformer.ban_2177,0.002985
Transformer.ban_2184,0.002985
Transformer.ban_2185,0.002985
Transformer.dho_3001,0.002985
Transformer.dho_3026,0.002985
Transformer.dho_3039,0.002985
Transformer.dho_3045,0.002985
Transformer.dho_3051,0.002985
Transformer.dho_3069,0.002985
Transformer.dho_3095,0.002985
Transformer.dho_3097,0.002985
Transformer.dho_3101,0.002985
Transformer.dho_3107,0.002985
Transformer.dho_3118,0.002985
Transformer.dho_3119,0.002985
Transformer.dho_3122,0.002985
Transformer.dho_3133,0.002985
Transformer.dho_3137,0.002985
Transformer.dho_3151,0.002985
Transformer.dho_3163,0.002985
Transformer.dho_3173,0.002985
Transformer.dho_3177,0.002985
