Component,Breaker
Line.line_bag_1001_1220,Line.line_bag_ss_ckt_bkr
Line.line_bag_1002_1224,Line.line_bag_ss_ckt_bkr
Line.line_bag_1003_1233,Line.line_bag_ss_ckt_bkr
Line.line_bag_1004_1239,Line.line_bag_ss_ckt_bkr
Line.line_bag_1005_1234,Line.line_bag_ss_ckt_bkr
Line.line_bag_1006_1230,Line.line_bag_ss_ckt_bkr
Line.line_bag_1007_1229,Line.line_bag_ss_ckt_bkr
Line.line_bag_1008_1243,Line.line_bag_ss_ckt_bkr
Line.line_bag_1009_1255,Line.line_bag_ss_ckt_bkr
Line.line_bag_101_1217,Line.line_bag_ss_ckt_bkr
Line.line_bag_1010_1265,Line.line_bag_ss_ckt_bkr
Line.line_bag_1011_1273,Line.line_bag_ss_ckt_bkr
Line.line_bag_1012_1281,Line.line_bag_ss_ckt_bkr
Line.line_bag_1013_1284,Line.line_bag_ss_ckt_bkr
Line.line_bag_1014_1286,Line.line_bag_ss_ckt_bkr
Line.line_bag_1015_1280,Line.line_bag_ss_ckt_bkr
Line.line_bag_1016_1017,Line.line_bag_ss_ckt_bkr
Line.line_bag_1017_1018,Line.line_bag_ss_ckt_bkr
Line.line_bag_1018_1275,Line.line_bag_ss_ckt_bkr
Line.line_bag_1019_1271,Line.line_bag_ss_ckt_bkr
Line.line_bag_1020_1270,Line.line_bag_ss_ckt_bkr
Line.line_bag_1021_1268,Line.line_bag_ss_ckt_bkr
Line.line_bag_1022_1023,Line.line_bag_ss_ckt_bkr
Line.line_bag_1023_1024,Line.line_bag_ss_ckt_bkr
Line.line_bag_1024_1025,Line.line_bag_ss_ckt_bkr
Line.line_bag_1025_1026,Line.line_bag_ss_ckt_bkr
Line.line_bag_1026_1027,Line.line_bag_ss_ckt_bkr
Line.line_bag_1027_1028,Line.line_bag_ss_ckt_bkr
Line.line_bag_1028_1029,Line.line_bag_ss_ckt_bkr
Line.line_bag_1029_1030,Line.line_bag_ss_ckt_bkr
Line.line_bag_1030_1031,Line.line_bag_ss_ckt_bkr
Line.line_bag_1031_1032,Line.line_bag_ss_ckt_bkr
Line.line_bag_1032_1078,Line.line_bag_ss_ckt_bkr
Line.line_bag_1033_1034,Line.line_bag_ss_ckt_bkr
Line.line_bag_1034_1035,Line.line_bag_ss_ckt_bkr
Line.line_bag_1035_1036,Line.line_bag_ss_ckt_bkr
Line.line_bag_1036_1037,Line.line_bag_ss_ckt_bkr
Line.line_bag_1037_1038,Line.line_bag_ss_ckt_bkr
Line.line_bag_1038_1039,Line.line_bag_ss_ckt_bkr
Line.line_bag_1039_1040,Line.line_bag_ss_ckt_bkr
Line.line_bag_1040_1041,Line.line_bag_ss_ckt_bkr
Line.line_bag_1041_1042,Line.line_bag_ss_ckt_bkr
Line.line_bag_1042_1043,Line.line_bag_ss_ckt_bkr
Line.line_bag_1043_1263,Line.line_bag_ss_ckt_bkr
Line.line_bag_1044_1259,Line.line_bag_ss_ckt_bkr
Line.line_bag_1045_1257,Line.line_bag_ss_ckt_bkr
Line.line_bag_1046_1247,Line.line_bag_ss_ckt_bkr
Line.line_bag_1047_1241,Line.line_bag_ss_ckt_bkr
Line.line_bag_1048_1242,Line.line_bag_ss_ckt_bkr
Line.line_bag_1049_1246,Line.line_bag_ss_ckt_bkr
Line.line_bag_1050_1251,Line.line_bag_ss_ckt_bkr
Line.line_bag_1051_1253,Line.line_bag_ss_ckt_bkr
Line.line_bag_1052_1260,Line.line_bag_ss_ckt_bkr
Line.line_bag_1053_1264,Line.line_bag_ss_ckt_bkr
Line.line_bag_1054_1269,Line.line_bag_ss_ckt_bkr
Line.line_bag_1055_1274,Line.line_bag_ss_ckt_bkr
Line.line_bag_1056_1282,Line.line_bag_ss_ckt_bkr
