Component,Distance
Speed (Unit/hour),5.9316080106666655
Line.line_bag_1001_1220,0.024057162
Line.line_bag_1002_1224,0.0427144209999999
Line.line_bag_1003_1233,0.0606404929999999
Line.line_bag_1004_1239,0.072894629
Line.line_bag_1005_1234,0.103565351
Line.line_bag_1006_1230,0.144647141
Line.line_bag_1007_1229,0.151400891
Line.line_bag_1008_1243,0.180327198
Line.line_bag_1009_1255,0.213817318
Line.line_bag_101_1217,0.001
Line.line_bag_1010_1265,0.237324238
Line.line_bag_1011_1273,0.265510288
Line.line_bag_1012_1281,0.302466458
Line.line_bag_1013_1284,0.324616168
Line.line_bag_1014_1286,0.337058015
Line.line_bag_1015_1280,0.3730081350000001
Line.line_bag_1016_1017,0.405036035
Line.line_bag_1017_1018,0.444269535
Line.line_bag_1018_1275,0.4768931350000001
Line.line_bag_1019_1271,0.5068309210000002
Line.line_bag_1020_1270,0.5127722710000001
Line.line_bag_1021_1268,0.5494420910000001
Line.line_bag_1022_1023,0.5925371700000001
Line.line_bag_1023_1024,0.60964927
Line.line_bag_1024_1025,0.63154647
Line.line_bag_1025_1026,0.65266547
Line.line_bag_1026_1027,0.6746651699999999
Line.line_bag_1027_1028,0.69797247
Line.line_bag_1028_1029,0.7186852699999999
Line.line_bag_1029_1030,0.7415705699999999
Line.line_bag_1030_1031,0.7618454699999999
Line.line_bag_1031_1032,0.7826074699999999
Line.line_bag_1032_1078,0.8016510699999999
Line.line_bag_1033_1034,0.8598633699999999
Line.line_bag_1034_1035,0.8892031699999999
Line.line_bag_1035_1036,0.92244677
Line.line_bag_1036_1037,0.95042537
Line.line_bag_1037_1038,1.00417797
Line.line_bag_1038_1039,1.01778517
Line.line_bag_1039_1040,1.05389417
Line.line_bag_1040_1041,1.08544457
Line.line_bag_1041_1042,1.10610947
Line.line_bag_1042_1043,1.1303963700000002
Line.line_bag_1043_1263,1.1618499700000002
Line.line_bag_1044_1259,1.20249606
Line.line_bag_1045_1257,1.224415034
Line.line_bag_1046_1247,1.334615544
Line.line_bag_1047_1241,1.3852683140000002
Line.line_bag_1048_1242,1.4332664540000004
Line.line_bag_1049_1246,1.4809034040000006
Line.line_bag_1050_1251,1.5251430570000006
Line.line_bag_1051_1253,1.5664460570000005
Line.line_bag_1052_1260,1.6041413670000004
Line.line_bag_1053_1264,1.6400574670000003
Line.line_bag_1054_1269,1.6727594370000003
Line.line_bag_1055_1274,1.7031387170000003
Line.line_bag_1056_1282,1.7416261240000004
Line.line_bag_1057_1288,1.7740881940000004
Line.line_bag_1058_1290,1.8161186040000004
Line.line_bag_1059_1291,1.8525392040000004
Line.line_bag_1060_1294,1.914675954000001
Line.line_bag_1061_1296,1.9599018840000009
Line.line_bag_1062_1298,2.0176248240000008
Line.line_bag_1063_1300,2.058376319000001
Line.line_bag_1064_1302,2.109848879000001
Line.line_bag_1065_1304,2.156912229000001
Line.line_bag_1066_1305,2.173499709000001
Line.line_bag_1067_1307,2.202898805000001
Line.line_bag_1068_1309,2.250694245000001
Line.line_bag_1069_1070,2.277993045000001
Line.line_bag_1070_1071,2.304351045000001
Line.line_bag_1071_1072,2.318085245000001
Line.line_bag_1072_1073,2.3342525450000013
Line.line_bag_1073_1074,2.3688985450000013
Line.line_bag_1074_1075,2.3984536450000014
Line.line_bag_1075_1076,2.421765845000001
Line.line_bag_1076_1077,2.4521192450000013
Line.line_bag_1077_1114,2.4626577450000013
Line.line_bag_1079_1080,0.8531820699999999
Line.line_bag_1080_1081,0.8705709699999999
Line.line_bag_1081_1082,0.89487177
Line.line_bag_1082_1083,0.91299327
Line.line_bag_1083_1084,0.93024257
Line.line_bag_1084_1085,0.95510437
Line.line_bag_1085_1086,0.97443027
Line.line_bag_1086_1087,0.99105197
Line.line_bag_1087_1088,1.01706237
Line.line_bag_1088_1089,1.0392431700000002
Line.line_bag_1089_1090,1.0548437700000002
Line.line_bag_1090_1091,1.07385717
Line.line_bag_1091_1092,1.0929182700000002
Line.line_bag_1092_1093,1.1084406700000002
Line.line_bag_1093_1216,1.12799057
Line.line_bag_1094_1095,1.14839482
Line.line_bag_1095_1096,1.15813607
Line.line_bag_1096_1097,1.1660442
Line.line_bag_1097_1098,1.17344478
Line.line_bag_1098_1099,1.19791138
Line.line_bag_1099_1100,1.21898598
Line.line_bag_1100_1101,1.24165888
Line.line_bag_1101_1102,1.2619703800000002
Line.line_bag_1102_1103,1.2844359800000005
Line.line_bag_1103_1104,1.3100373800000005
Line.line_bag_1104_1105,1.3288314800000005
Line.line_bag_1105_1106,1.3480755800000004
Line.line_bag_1106_1107,1.3638722800000005
Line.line_bag_1107_1108,1.3843913800000005
Line.line_bag_1108_1109,1.4068272800000006
Line.line_bag_1109_1110,1.4282265800000005
Line.line_bag_1110_1111,1.4442284800000005
Line.line_bag_1111_1112,1.4564816800000004
Line.line_bag_1112_1116,1.4716930800000003
Line.line_bag_1112_1118,1.4716930800000003
Line.line_bag_1114_1113,2.5075328450000014
Line.line_bag_1114_1115,2.5075328450000014
Line.line_bag_1116_1117,1.5126847800000005
Line.line_bag_1118_1119,1.4817150800000003
Line.line_bag_1119_1120,1.5041882800000006
Line.line_bag_1120_1121,1.5257040800000006
Line.line_bag_1121_1122,1.5491320800000006
Line.line_bag_1122_1123,1.5526606600000006
Line.line_bag_1123_1124,1.5684787600000003
Line.line_bag_1124_1131,1.5915712600000005
Line.line_bag_1125_1126,1.6241170000000007
Line.line_bag_1126_1127,1.6620925000000006
Line.line_bag_1127_1128,1.6835402000000006
Line.line_bag_1128_1129,1.7182524000000006
Line.line_bag_1129_1130,1.7649480000000006
Line.line_bag_1131_1132,1.6003570700000005
Line.line_bag_1131_1310,1.6003570700000005
Line.line_bag_1132_1133,1.6150764700000004
Line.line_bag_1133_1134,1.6339662700000004
Line.line_bag_1134_1135,1.6650580700000004
Line.line_bag_1135_1136,1.6841070700000005
Line.line_bag_1136_1137,1.6918112200000004
Line.line_bag_1137_1140,1.7045254200000004
Line.line_bag_1138_1139,1.7629823200000003
Line.line_bag_1140_1138,1.7155629200000004
Line.line_bag_1140_1141,1.7155629200000004
Line.line_bag_1141_1142,1.7381657200000005
Line.line_bag_1142_1143,1.7618845200000004
Line.line_bag_1143_1144,1.7851901200000004
Line.line_bag_1144_1145,1.8123801200000005
Line.line_bag_1145_1146,1.8412500200000004
Line.line_bag_1146_1147,1.8654957200000004
Line.line_bag_1147_1148,1.8886398200000003
Line.line_bag_1148_1149,1.8977688500000005
Line.line_bag_1149_1150,1.9127427500000005
Line.line_bag_1150_1151,1.9378646500000003
Line.line_bag_1151_1152,1.9541750500000004
Line.line_bag_1152_1153,1.9706321500000004
Line.line_bag_1153_1154,1.9884568500000004
Line.line_bag_1154_1155,2.010676950000001
Line.line_bag_1155_1215,2.0260708500000004
Line.line_bag_1156_1157,2.04628214
Line.line_bag_1157_1158,2.0761090400000004
Line.line_bag_1158_1159,2.1053090400000003
Line.line_bag_1159_1160,2.12432114
Line.line_bag_1160_1161,2.1469569400000004
Line.line_bag_1161_1162,2.1744959400000003
Line.line_bag_1162_1163,2.19395824
Line.line_bag_1163_1164,2.2135066400000003
Line.line_bag_1164_1165,2.23790344
Line.line_bag_1165_1166,2.2590707400000003
Line.line_bag_1166_1167,2.27944364
Line.line_bag_1167_1168,2.2985437400000004
Line.line_bag_1168_1169,2.3161025400000006
Line.line_bag_1169_1311,2.3171549900000006
Line.line_bag_1170_1171,2.3304168460000008
Line.line_bag_1171_1172,2.351771346000001
Line.line_bag_1172_1173,2.370080546000001
Line.line_bag_1173_1174,2.388095446000001
Line.line_bag_1174_1175,2.4075956460000008
Line.line_bag_1175_1176,2.430131646000001
Line.line_bag_1176_1177,2.451986546000001
Line.line_bag_1177_1178,2.474561946000001
Line.line_bag_1178_1179,2.505080846000001
Line.line_bag_1179_1180,2.531460046000001
Line.line_bag_1180_1181,2.559252546000001
Line.line_bag_1181_1182,2.586627946000001
Line.line_bag_1182_1183,2.609437946000001
Line.line_bag_1183_1184,2.630143346000001
Line.line_bag_1184_1185,2.6530859460000014
Line.line_bag_1185_1186,2.6721880460000014
Line.line_bag_1186_1187,2.701628746000001
Line.line_bag_1187_1188,2.7263116460000014
Line.line_bag_1188_1189,2.7536249460000013
Line.line_bag_1189_1190,2.7795621460000013
Line.line_bag_1190_1191,2.818110046000001
Line.line_bag_1191_1192,2.8493659460000016
Line.line_bag_1192_1193,2.864759546000001
Line.line_bag_1193_1194,2.8945647460000017
Line.line_bag_1194_1195,2.920136846000002
Line.line_bag_1195_1196,2.945078946000002
Line.line_bag_1196_1197,2.966919346000002
Line.line_bag_1197_1198,2.990211146000002
Line.line_bag_1198_1199,3.0131144460000017
Line.line_bag_1199_1200,3.0354933460000018
Line.line_bag_1200_1201,3.0547578460000016
Line.line_bag_1201_1202,3.0789338460000018
Line.line_bag_1202_1203,3.1023200460000018
Line.line_bag_1203_1204,3.1130181460000017
Line.line_bag_1204_1205,3.1236244460000018
Line.line_bag_1205_1206,3.143147346000002
Line.line_bag_1206_1207,3.167068646000002
Line.line_bag_1207_1313,3.172842446000002
Line.line_bag_1208_1209,3.206640708000002
Line.line_bag_1210_1208,3.186465908000002
Line.line_bag_1210_1314,3.186465908000002
Line.line_bag_1211_1315,3.201216898000002
Line.line_bag_1212_1213,3.2111208580000024
Line.line_bag_1213_1214,3.232995758000002
Line.line_bag_1215_1156,2.0363934500000003
Line.line_bag_1216_1094,1.13532972
Line.line_bag_1217_1218,0.00719452
Line.line_bag_1218_1219,0.01103494
Line.line_bag_1219_1001,0.02383524
Line.line_bag_1220_1221,0.030101852
Line.line_bag_1221_1222,0.031073101
Line.line_bag_1222_1223,0.033403031
Line.line_bag_1223_1002,0.039846661
Line.line_bag_1224_1225,0.0455436409999999
Line.line_bag_1225_1226,0.0517081009999999
Line.line_bag_1226_1227,0.0522656169999999
Line.line_bag_1227_1228,0.0581915569999999
Line.line_bag_1228_1003,0.0598380569999999
Line.line_bag_1229_1232,0.151576558
Line.line_bag_1230_1007,0.148449261
Line.line_bag_1231_1006,0.138419181
Line.line_bag_1232_1008,0.153298398
Line.line_bag_1233_1235,0.0694838429999999
Line.line_bag_1234_1231,0.105874581
Line.line_bag_1235_1236,0.071267243
Line.line_bag_1236_1004,0.072136568
Line.line_bag_1237_1005,0.077316251
Line.line_bag_1238_1237,0.076779859
Line.line_bag_1239_1238,0.075156289
Line.line_bag_1240_1048,1.4289608140000003
Line.line_bag_1241_1240,1.4071242140000002
Line.line_bag_1242_1245,1.4487771540000003
Line.line_bag_1243_1250,0.184240418
Line.line_bag_1244_1047,1.376989844
Line.line_bag_1245_1049,1.4778291540000006
Line.line_bag_1246_1248,1.5020113040000007
Line.line_bag_1247_1244,1.352522144
Line.line_bag_1248_1050,1.5248417040000006
Line.line_bag_1249_1046,1.330637034
Line.line_bag_1250_1009,0.199772218
Line.line_bag_1251_1051,1.5463918570000006
Line.line_bag_1252_1249,1.302308534
Line.line_bag_1253_1256,1.5698605070000005
Line.line_bag_1254_1252,1.275920734
Line.line_bag_1255_1261,0.215284758
Line.line_bag_1256_1052,1.5965685070000004
Line.line_bag_1257_1254,1.240043834
Line.line_bag_1258_1045,1.22415001
Line.line_bag_1259_1258,1.21054341
Line.line_bag_1260_1053,1.6208618670000003
Line.line_bag_1261_1010,0.234604958
Line.line_bag_1262_1044,1.18318786
Line.line_bag_1263_1262,1.1655173600000002
Line.line_bag_1264_1266,1.6444120370000004
Line.line_bag_1265_1011,0.257798438
Line.line_bag_1266_1054,1.6622129370000005
Line.line_bag_1267_1021,0.5472594310000001
Line.line_bag_1268_1279,0.55025895
Line.line_bag_1269_1055,1.6806598170000002
Line.line_bag_1270_1267,0.5202156310000001
Line.line_bag_1271_1020,0.5068367110000002
Line.line_bag_1272_1019,0.5066235550000001
Line.line_bag_1273_1277,0.285576588
Line.line_bag_1274_1276,1.7037121240000004
Line.line_bag_1275_1272,0.484118555
Line.line_bag_1276_1278,1.7086459240000005
Line.line_bag_1277_1012,0.297839388
Line.line_bag_1278_1056,1.7236402240000004
Line.line_bag_1279_1022,0.58714325
Line.line_bag_1280_1016,0.403230535
Line.line_bag_1281_1283,0.311407658
Line.line_bag_1282_1287,1.7474633540000004
Line.line_bag_1283_1013,0.320791018
Line.line_bag_1284_1285,0.325138805
Line.line_bag_1285_1014,0.332868855
Line.line_bag_1286_1015,0.338440635
Line.line_bag_1287_1057,1.7698539540000005
Line.line_bag_1288_1289,1.7917413940000004
Line.line_bag_1289_1058,1.8140967940000003
Line.line_bag_1290_1059,1.8353454040000003
Line.line_bag_1291_1292,1.8577252540000004
Line.line_bag_1292_1293,1.8811480540000003
Line.line_bag_1293_1060,1.9015695540000008
Line.line_bag_1294_1295,1.9216780840000007
Line.line_bag_1295_1061,1.9382948840000007
Line.line_bag_1296_1297,1.9624912240000008
Line.line_bag_1297_1062,1.9894529240000007
Line.line_bag_1298_1299,2.018239319000001
Line.line_bag_1299_1063,2.043024619000001
Line.line_bag_1300_1301,2.068160479000001
Line.line_bag_1301_1064,2.094578279000001
Line.line_bag_1302_1303,2.1152488290000013
Line.line_bag_1303_1065,2.144946829000001
Line.line_bag_1304_1066,2.166794329000001
Line.line_bag_1305_1306,2.173608715000001
Line.line_bag_1306_1067,2.192943415000001
Line.line_bag_1307_1308,2.214700305000001
Line.line_bag_1308_1068,2.241661305000001
Line.line_bag_1309_1069,2.265367145000001
Line.line_bag_1310_1125,1.6016468000000006
Line.line_bag_1311_1312,2.3177804900000005
Line.line_bag_1312_1170,2.3181707460000007
Line.line_bag_1313_1210,3.173474208000002
Line.line_bag_1314_1211,3.198464508000002
Line.line_bag_1315_1212,3.203549668000002
Line.line_ban_102_2196,0.001
Line.line_ban_2001_2197,0.00947368
Line.line_ban_2002_2198,0.02616276
Line.line_ban_2003_2202,0.043489689
Line.line_ban_2004_2206,0.061290601
Line.line_ban_2005_2212,0.076166052
Line.line_ban_2006_2216,0.10034641
Line.line_ban_2007_2218,0.12431796
Line.line_ban_2008_2220,0.14783904
Line.line_ban_2009_2224,0.160908588
Line.line_ban_2010_2011,0.185246869
Line.line_ban_2011_2226,0.213861269
Line.line_ban_2012_2227,0.232201169
Line.line_ban_2013_2228,0.2523109890000001
Line.line_ban_2014_2229,0.2760076770000001
Line.line_ban_2015_2231,0.2960895870000001
Line.line_ban_2016_2232,0.3194047070000001
Line.line_ban_2017_2233,0.3411786070000001
Line.line_ban_2018_2236,0.3420426110000001
Line.line_ban_2019_2238,0.3561522580000001
Line.line_ban_2020_2021,0.3850250980000001
Line.line_ban_2021_2022,0.4080661980000001
Line.line_ban_2022_2023,0.4275324980000001
Line.line_ban_2023_2024,0.4510388980000001
Line.line_ban_2024_2025,0.4705412980000001
Line.line_ban_2025_2026,0.4881017980000001
Line.line_ban_2026_2027,0.5083225980000001
Line.line_ban_2027_2028,0.5275317980000002
Line.line_ban_2028_2029,0.5465453980000001
Line.line_ban_2029_2030,0.5742812980000002
Line.line_ban_2030_2031,0.6023268980000002
Line.line_ban_2031_2032,0.6216620980000002
Line.line_ban_2032_2052,0.6450646980000002
Line.line_ban_2033_2034,0.6875152980000002
Line.line_ban_2034_2035,0.7086336980000002
Line.line_ban_2035_2036,0.7220288980000003
Line.line_ban_2036_2037,0.7507567980000003
Line.line_ban_2037_2038,0.7791192980000002
Line.line_ban_2038_2039,0.8012654980000002
Line.line_ban_2039_2040,0.8349173980000002
Line.line_ban_2040_2041,0.8579381980000002
Line.line_ban_2041_2042,0.8757639980000002
Line.line_ban_2042_2043,0.9004103980000001
Line.line_ban_2043_2044,0.919404298
Line.line_ban_2044_2045,0.940414898
Line.line_ban_2045_2046,0.961893298
Line.line_ban_2046_2060,0.9839809980000002
Line.line_ban_2047_2048,1.0232663980000003
Line.line_ban_2048_2049,1.0378959980000002
Line.line_ban_2049_2050,1.0546401980000002
Line.line_ban_2050_2051,1.066341498
Line.line_ban_2052_2033,0.6640091980000002
Line.line_ban_2052_2053,0.6640091980000002
Line.line_ban_2053_2054,0.6877538980000002
Line.line_ban_2054_2195,0.7101742980000002
Line.line_ban_2055_2056,0.7512711980000002
Line.line_ban_2056_2057,0.7647536980000001
Line.line_ban_2057_2058,0.7751256980000002
Line.line_ban_2058_2059,0.7940905980000001
Line.line_ban_2060_2047,1.0055195980000002
Line.line_ban_2060_2061,1.0055195980000002
Line.line_ban_2061_2062,1.0188049980000002
Line.line_ban_2062_2063,1.0372822980000005
Line.line_ban_2063_2064,1.0575855980000002
Line.line_ban_2064_2065,1.068903898
Line.line_ban_2065_2066,1.079299698
Line.line_ban_2066_2067,1.100622898
Line.line_ban_2067_2068,1.122051098
Line.line_ban_2068_2069,1.138473298
Line.line_ban_2069_2070,1.164805298
Line.line_ban_2070_2071,1.1747796380000002
Line.line_ban_2071_2072,1.189165138
Line.line_ban_2072_2073,1.211638538
Line.line_ban_2073_2074,1.2359702380000002
Line.line_ban_2074_2075,1.2545655380000005
Line.line_ban_2075_2076,1.2816202380000004
Line.line_ban_2076_2077,1.3025875380000005
Line.line_ban_2077_2078,1.3204992380000002
Line.line_ban_2078_2079,1.3463670380000003
Line.line_ban_2079_2080,1.3707648380000004
Line.line_ban_2080_2081,1.3983048380000005
Line.line_ban_2081_2148,1.4221511380000005
Line.line_ban_2082_2083,1.4675643380000003
Line.line_ban_2083_2084,1.5018189380000002
Line.line_ban_2084_2085,1.5314314380000005
Line.line_ban_2085_2086,1.5540418380000005
Line.line_ban_2086_2087,1.5799914380000002
Line.line_ban_2087_2088,1.5957207380000002
Line.line_ban_2088_2089,1.5997204980000002
Line.line_ban_2089_2090,1.631420298
Line.line_ban_2090_2091,1.654672598
