Component,Is_Breaker
Line.line_bag_1001_1220,0
Line.line_bag_1002_1224,0
Line.line_bag_1003_1233,0
Line.line_bag_1004_1239,0
Line.line_bag_1005_1234,0
Line.line_bag_1006_1230,0
Line.line_bag_1007_1229,0
Line.line_bag_1008_1243,0
Line.line_bag_1009_1255,0
Line.line_bag_101_1217,0
Line.line_bag_1010_1265,0
Line.line_bag_1011_1273,0
Line.line_bag_1012_1281,0
Line.line_bag_1013_1284,0
Line.line_bag_1014_1286,0
Line.line_bag_1015_1280,0
Line.line_bag_1016_1017,0
Line.line_bag_1017_1018,0
Line.line_bag_1018_1275,0
Line.line_bag_1019_1271,0
Line.line_bag_1020_1270,0
Line.line_bag_1021_1268,0
Line.line_bag_1022_1023,0
Line.line_bag_1023_1024,0
Line.line_bag_1024_1025,0
Line.line_bag_1025_1026,0
Line.line_bag_1026_1027,0
Line.line_bag_1027_1028,0
Line.line_bag_1028_1029,0
Line.line_bag_1029_1030,0
Line.line_bag_1030_1031,0
Line.line_bag_1031_1032,0
Line.line_bag_1032_1078,0
Line.line_bag_1033_1034,0
Line.line_bag_1034_1035,0
Line.line_bag_1035_1036,0
Line.line_bag_1036_1037,0
Line.line_bag_1037_1038,0
Line.line_bag_1038_1039,0
Line.line_bag_1039_1040,0
Line.line_bag_1040_1041,0
Line.line_bag_1041_1042,0
Line.line_bag_1042_1043,0
Line.line_bag_1043_1263,0
Line.line_bag_1044_1259,0
Line.line_bag_1045_1257,0
Line.line_bag_1046_1247,0
Line.line_bag_1047_1241,0
Line.line_bag_1048_1242,0
Line.line_bag_1049_1246,0
Line.line_bag_1050_1251,0
Line.line_bag_1051_1253,0
Line.line_bag_1052_1260,0
Line.line_bag_1053_1264,0
Line.line_bag_1054_1269,0
Line.line_bag_1055_1274,0
Line.line_bag_1056_1282,0
Line.line_bag_1057_1288,0
Line.line_bag_1058_1290,0
Line.line_bag_1059_1291,0
Line.line_bag_1060_1294,0
Line.line_bag_1061_1296,0
Line.line_bag_1062_1298,0
Line.line_bag_1063_1300,0
Line.line_bag_1064_1302,0
Line.line_bag_1065_1304,0
Line.line_bag_1066_1305,0
Line.line_bag_1067_1307,0
Line.line_bag_1068_1309,0
Line.line_bag_1069_1070,0
Line.line_bag_1070_1071,0
Line.line_bag_1071_1072,0
Line.line_bag_1072_1073,0
Line.line_bag_1073_1074,0
Line.line_bag_1074_1075,0
Line.line_bag_1075_1076,0
Line.line_bag_1076_1077,0
Line.line_bag_1077_1114,0
Line.line_bag_1079_1080,0
Line.line_bag_1080_1081,0
Line.line_bag_1081_1082,0
Line.line_bag_1082_1083,0
Line.line_bag_1083_1084,0
Line.line_bag_1084_1085,0
Line.line_bag_1085_1086,0
Line.line_bag_1086_1087,0
Line.line_bag_1087_1088,0
Line.line_bag_1088_1089,0
Line.line_bag_1089_1090,0
Line.line_bag_1090_1091,0
Line.line_bag_1091_1092,0
Line.line_bag_1092_1093,0
Line.line_bag_1093_1216,0
Line.line_bag_1094_1095,0
Line.line_bag_1095_1096,0
Line.line_bag_1096_1097,0
Line.line_bag_1097_1098,0
