Hour,temperature
0.0,10.5
1.0,12.0
2.0,12.4
3.0,12.3
4.0,12.2
5.0,12.1
6.0,7.7
7.0,7.8
8.0,11.3
9.0,14.5
10.0,17.8
11.0,20.3
12.0,22.3
13.0,23.3
14.0,23.7
15.0,23.7
16.0,22.8
17.0,19.6
18.0,15.8
19.0,13.7
20.0,12.2
21.0,11.4
22.0,10.9
23.0,10.4
24.0,10.2
25.0,9.7
26.0,8.7
27.0,8.0
28.0,7.5
29.0,7.2
30.0,7.0
31.0,6.8
32.0,10.3
33.0,15.7
34.0,20.1
35.0,22.5
36.0,23.9
37.0,24.1
38.0,24.8
39.0,24.6
40.0,23.5
41.0,19.3
42.0,16.7
43.0,14.9
44.0,13.3
45.0,12.6
46.0,12.0
47.0,11.4
48.0,10.8
49.0,10.4
50.0,10.1
51.0,10.1
52.0,9.5
53.0,9.3
54.0,9.0
55.0,9.1
56.0,12.7
57.0,18.2
58.0,21.8
59.0,22.3
60.0,23.5
61.0,23.4
62.0,23.6
63.0,23.2
64.0,22.3
65.0,19.9
66.0,17.5
67.0,15.8
68.0,14.9
69.0,14.7
70.0,14.2
71.0,14.0
72.0,13.7
73.0,13.9
74.0,13.7
75.0,13.6
76.0,13.3
77.0,12.7
78.0,11.6
79.0,12.1
80.0,14.3
81.0,17.1
82.0,20.3
83.0,23.2
84.0,23.9
85.0,25.3
86.0,25.9
87.0,25.7
88.0,24.8
89.0,21.3
90.0,17.5
91.0,16.4
92.0,16.3
93.0,15.9
94.0,15.0
95.0,14.5
96.0,13.9
97.0,13.5
98.0,13.1
99.0,13.3
100.0,13.7
101.0,13.7
102.0,13.5
103.0,14.4
104.0,17.9
105.0,20.0
106.0,22.9
107.0,24.5
108.0,24.7
109.0,25.3
110.0,26.1
111.0,25.7
112.0,23.7
113.0,22.3
114.0,20.7
115.0,19.3
116.0,18.3
117.0,17.1
118.0,16.3
119.0,16.1
120.0,15.7
121.0,16.0
122.0,15.8
123.0,15.7
124.0,15.5
125.0,14.8
126.0,14.4
127.0,14.4
128.0,16.7
129.0,19.0
130.0,21.5
131.0,22.1
132.0,23.0
133.0,24.3
134.0,24.9
135.0,25.0
136.0,24.0
137.0,21.1
138.0,18.2
139.0,17.0
140.0,16.6
141.0,16.1
142.0,16.2
143.0,15.8
144.0,14.8
145.0,14.8
146.0,14.2
147.0,14.1
148.0,13.9
149.0,14.7
150.0,13.9
151.0,13.5
152.0,15.7
153.0,17.4
154.0,19.6
155.0,21.1
156.0,22.5
157.0,23.5
158.0,23.9
159.0,23.5
160.0,22.3
161.0,20.1
162.0,17.6
163.0,16.8
164.0,16.0
165.0,15.0
166.0,14.4
167.0,14.5
168.0,14.9
169.0,15.0
170.0,14.6
171.0,14.2
172.0,14.2
173.0,13.4
174.0,12.8
175.0,12.9
176.0,15.3
177.0,19.0
178.0,21.4
179.0,23.4
180.0,24.5
181.0,25.0
182.0,25.2
183.0,24.9
184.0,23.7
185.0,21.3
186.0,17.9
187.0,16.0
188.0,14.9
189.0,14.5
190.0,14.2
191.0,13.4
192.0,12.7
193.0,12.6
194.0,12.0
195.0,11.8
196.0,11.9
197.0,11.8
198.0,11.7
199.0,11.6
200.0,12.9
201.0,14.9
202.0,18.3
203.0,20.7
204.0,22.0
205.0,22.8
206.0,23.2
207.0,23.1
208.0,22.2
209.0,19.5
210.0,16.9
211.0,15.5
